brent simmons interviewed by cocoaradio ,Aug 24 2005 12:00AM,scott mcnulty,software:&:blogging , cocoaradio a new podcast devoted to the ins and outs of developing using cocoa had an interview with everyones favorite independent mac developer brent simmons of ranchero software.if you arent familiar with brents work he and his wife are the team behind such great mac applications as netnewswire my favorite app of all time and marsedit. brent discusses many things in the interview including how he became a cocoa developer and ui focused design. ,452,4,0,1, http://www.tuaw.com/2005/08/24/brent-simmons-interviewed-by-cocoaradio/#comments ,http://www.tuaw.com/2005/08/24/brent-simmons-interviewed-by-cocoaradio/,,,
installing ram the hard way ,Aug 24 2005 12:00AM,dave caolo,hardware:&:imac , heres one for scotts andquot;horror storyandquot; post. what do you do when the ram you bought for your imac just wont slide into place? you andquot;hammer it in with your knuckleandquot; of course. andru at gear live bought some snazzy ocz platinum sticks for his g5 imac each of which bears its own heat sink. the added bulk made installation not so easy and nearly had andru physically attacking his machine. in the end though the sticks are in and now hes cruising with 2gb of glory.it could have been worse. who remembers the inside of the 7100? i actually drew blood once on that machines horrible innards. thanks edwin! ,628,3,0,9, http://www.tuaw.com/2005/08/24/instaling-ram-the-hard-way/#comments ,http://www.tuaw.com/2005/08/24/instaling-ram-the-hard-way/,,,
os x intel boot speeds impressive ,Aug 24 2005 12:00AM,scott mcnulty,os:&:powerbook , at least in this video warning windows media file ahoy! the boot time is smokin. the videographer was kind enough to show os x booting on both a dell am i the only one that shivers every time he thinks about os x running on a dell box? and a powerbook for a little unscientific benchmarking.first off a desktop machine is generally going to be faster than a laptop no matter the type of processor inside an over simplification i know but in general this rule works and the powerbook is most likely not running a clean install of os x as the dell machine is. all that being said i am looking forward to the intel macs now more than ever.i want one now uncle steve! ,665,1,0,17, http://www.tuaw.com/2005/08/24/os-x-intel-boot-speeds-impressive/#comments ,http://www.tuaw.com/2005/08/24/os-x-intel-boot-speeds-impressive/,,,
my google talk mac wish list ,Aug 24 2005 12:00AM,laurie a. duncan,analysis / opinion:&:software:&:internet tools , the interweb is all abuzz with google talk chatter. while we probably didnt really need a yet another chat client yacc google talk or gtalk as the kids are calling it is free based on open technology and the few hours we spent playing with it last night proved that it works. cant ask for much more than that. or can i? of course i can!the service and accompanying website only rolled out last night but already im finding things that should be present but arent. the help section on the google talk page for example refers to numerous pages that say nothing other than document not foundsorry the document you requested is not available.  you can return to the referring page.ill cut them some slack on that though. even google deserves a few days to get their act together. its still beta afterall.since theres no mac client those of us at tuaw and many of our colleagues across the weblogs inc. network were firing up ichat last night in order to test drive talk.google.com. with the exception of a bizarre half hour where i was demonically possessed the account setup went smoothly and within mere seconds of inputting the proper settings i was talking to friends and family who had gmail.com email addresses. thats my first gripe - asandnbsp; mac user without a standalone google talk client i was at the mercy of knowing someones gmail address in order to connect with them or having to look it up in one of my many address books. the windows-only google talk client has a built-in searchandnbsp; engine that culls from your existing gmail address book. there is no such search engine in ichat obviously.andnbsp; while i know that google cant dictate how third-party applications are built and how well those clients interact with their own service im baffled as to why they - once again - released a new service without a mac-compatible client. the glut of mac-based chat clients proves that it cant be all that hard to do. i expect more from google. after all they pride themselves on not being evil right?if im stuck using ichat which i use all day anyway so its no big deal here are a few features id like to have:more after the jump ,2145,7,2,17, http://www.tuaw.com/2005/08/24/my-google-talk-mac-wish-list/#comments ,http://www.tuaw.com/2005/08/24/my-google-talk-mac-wish-list/,,,
bitplayer ,Aug 24 2005 12:00AM,scott mcnulty,software , bitplayer is a cool alternative to quicktime that offers some features that you wont find even in the pro version of quicktime. the first big ticket feature in bitplayer is playlists.playlists are just what they sound like; lists of movies that you can play in a certain order. bitplayer has a drawer into which you can drag different movies to create a playlist you can then play through the entire playlist or just view certain movies.bitplayer also supports playing videos in full screen something the free version of quicktime should support and exportingandnbsp; quicktime files into other formats.bitplayer requires os x 10.2 and it is a free download. ,660,1,0,4, http://www.tuaw.com/2005/08/24/bitplayer/#comments ,http://www.tuaw.com/2005/08/24/bitplayer/,,,
google talk broadcast message ,Aug 24 2005 12:00AM,c.k. sample, iii,internet tools , so last night while i was chatting away at the new google talk via ichat this little google broadcast message appeared:crazy! a google broadcast message over google talk that was only listed as gmail.com. i tried to add this to my buddy list hoping it was a bot b/c when i am bored i love messing with bots. anyway it wasnt and nothing happened.        anyway this got me thinking: big google brother can broadcast to all the users in gmail. if google ever rejects their dont be evil mantra this could be used for nefarious purposes. i dont think ive ever seen anything like this with any other chat services.        after sleeping on it ive decided that im not *furious* with google for failing to release a mac client yet. one is supposedly in the works and in the meantime google talk works with both ichat and adium. in ichat you can have audio chats with another person running ichat and my guess is that this is an ichat feature; i think the google talk account just handles the handshake between the two or more audio chatters and then it is passed along to another protocol. ideally however id want a mac client or a google talk plug-in for ichat. that would rock....oh and also server to server connections are needed so that google talk can communicate with the entire jabber sphere. do it google. do it now! ,1320,0,0,7, http://www.tuaw.com/2005/08/24/google-talk-broadcast-message/#comments ,http://www.tuaw.com/2005/08/24/google-talk-broadcast-message/,,
mighty mouse with mac mini ,Aug 24 2005 12:00AM,scott mcnulty,hardware , it looks like the mighty mouse might be the only wired mouse that apple will be shipping in the near future. the drunkenblog has a report from a reader that the wired mouse and keyboard combo and the mac mini with wired mouse and keyboard have been eoled thats end of life meaning they wont be available after the current stock runs out.the wired mouse is to be replaced with the wired mighty mouse or at least thats the theory which makes sense. if i were apple and believe me i dream about it every night i wouldnt want to have to make 3 different kinds of mouses. now you traditionalist out there that only want a one button mouse need not fear the might mouse is configured by default to act like a one button mouse so you can ignore all the other cool features if you must. ,780,3,0,9, http://www.tuaw.com/2005/08/24/mighty-mouse-with-mac-mini/#comments ,http://www.tuaw.com/2005/08/24/mighty-mouse-with-mac-mini/,,,
put xgrid to work ,Aug 24 2005 12:00AM,scott mcnulty,enterprise:&:os:&:unix / bsd , if youre running tiger then mac you are currently using can be used as a node in a powerful network based computational monster and if youre on panther youre a download away from joining in on the fun. everything you need to use is baked right into the os; which boils down to a combination of bonjour and xgrid.drew mccormack at the macdevcenter has penned an article showing how to setup an xgrid agent on your machine and start clustered operations with a few clicks of a mouse. however the real power of xgrid lies within the inky depths of the terminal window so if the very thought of typing commands makes your legs quiver this article might not be for you. ,666,2,0,0, http://www.tuaw.com/2005/08/24/put-xgrid-to-work/#comments ,http://www.tuaw.com/2005/08/24/put-xgrid-to-work/,,,
yellow dog to continue using powerpc ,Aug 25 2005 12:00AM,scott mcnulty,enterprise:&:software , terra soft solutions makers of yellow dog linux has hitched their wagon to the powerpc and with apples recent decision to move to an intel architecture you might think that yellow dog would be hurting or at least thinking about moving to intel or amd themselves. well you would be wrong. yellow dog is committed to the powerpc platform so committed in fact that they have found another manufacturer that makes powerpc servers and will be reselling those servers with yellow dog linux installed.i have never actually used yellow dog myself however i like to see small tech companies succeed so i wish them the best of luck. ,624,3,1,9, http://www.tuaw.com/2005/08/25/yellow-dog-to-continue-using-powerpc/#comments ,http://www.tuaw.com/2005/08/25/yellow-dog-to-continue-using-powerpc/,,,
ipod shadow dancer cant afford ipod ,Aug 25 2005 12:00AM,scott mcnulty,humor:&:ipod family:&:odds and ends , mandy coulton not pictured is one of the dancers in apples very successful dancing silhouette advertisements for the ubiquitous ipod. this in and of itself isnt newsworthy however what if i told you that mandy cant afford to buy herself an ipod?ok still not that newsworthy but it is kinda fun to read about. it seems that apple paid ms. coulton a mere $1500 to dance her fanny off in the commercial but what with rent and car payments ms. coulton couldnt afford the $400 for an ipod i wonder if she knew about the shuffle or the mini. now before you start mocking her though i may have started already she had this to say for herself andquot;at the time $1500 seemed a lot of money - but now my picture is absolutely everywhere. but im not bitter or anything.andquot;found via asymptomatic. ,793,2,0,21, http://www.tuaw.com/2005/08/25/ipod-shadow-dancer-cant-afford-ipod/#comments ,http://www.tuaw.com/2005/08/25/ipod-shadow-dancer-cant-afford-ipod/,,,
